Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_23_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_24_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_25_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_26_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_27_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_28_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_29_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_30_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_31_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_32_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_33_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_34_anchor_EX_lys__L_e_f,EFM_35_anchor_EX_lys__L_e_f,EFM_36_anchor_EX_lys__L_e_f,EFM_37_anchor_EX_lys__L_e_f,EFM_38_anchor_EX_lys__L_e_f,EFM_39_anchor_EX_lys__L_e_f,EFM_40_anchor_EX_lys__L_e_f,EFM_41_anchor_EX_lys__L_e_f,EFM_42_anchor_EX_lys__L_e_f,EFM_43_anchor_EX_lys__L_e_f,EFM_44_anchor_EX_lys__L_e_f,EFM_45_anchor_EX_lys__L_e_f,EFM_46_anchor_EX_lys__L_e_f,EFM_47_anchor_EX_lys__L_e_f,EFM_48_anchor_EX_lys__L_e_f,EFM_49_anchor_EX_arbtn_fe3_e_f,EFM_50_anchor_EX_arbtn_fe3_e_f,EFM_51_anchor_LYStex_b,EFM_52_anchor_LYStex_b,EFM_53_anchor_LYStex_b,EFM_54_anchor_LYStex_b,EFM_55_anchor_LYStex_b,EFM_56_anchor_LYStex_b,EFM_57_anchor_LYStex_b,EFM_58_anchor_LYStex_b,EFM_59_anchor_LYStex_b
HACD5_f,0.185577436001147,0.226457682855191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811951059537958,0.081195494408934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACD7_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITL,0,0,0,0,19.8852937212274,20.8465903083146,6.07634059970346,2.54530220061039,65.8869588230698,6.75655147430677,21.6682709827803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9012163596156,0,0,0,0,0,0,0,0,0,0,0,41.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYDXK,0.0008461900018046,0.00103259443169974,0,0,0,0,0,0,0,0,0,0,0,0,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278903,0.00308310150200301,0.0030711078457599,0.00125552796382445,0,0,0,0,0,0,0,0.000263562391627806,0.000649512543311967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNMPPA,0.00338476000721799,0.00413037772679848,0.00121210233528213,0.015649356677959,0.000932006452494533,0.00101916165037118,0.00150023715920312,0.00222550771920185,0.0131584069318798,0.00031684200697047,0.00103801599408133,0.00148833555726452,0.0120598189874764,0.0114602273411219,0.0122348309020624,0.0122054527242976,0.0123306303673266,0.0123283930911562,0.0123324060080124,0.0122844313830396,0.00502211185529718,4.45999999999997e-05,0.0014809232918412,0.001480930376902,4.46000000000023e-05,0.00346387821081726,0.00201280918632618,0.012394108217129,0.00105424956651123,0.00259805017324772,0.00313938564359727,0.00337061145509656,0.00541292265616477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPPK2,0.00338476000721799,0.00413037772679848,0.00121210233528213,0.015649356677959,0.000932006452494533,0.00101916165037118,0.00150023715920312,0.00222550771920185,0.0131584069318798,0.00031684200697047,0.00103801599408133,0.00148833555726452,0.0120598189874764,0.0114602273411219,0.0122348309020624,0.0122054527242976,0.0123306303673266,0.0123283930911562,0.0123324060080124,0.0122844313830396,0.00502211185529718,4.45999999999997e-05,0.0014809232918412,0.001480930376902,4.46000000000023e-05,0.00346387821081726,0.00201280918632618,0.012394108217129,0.00105424956651123,0.00259805017324772,0.00313938564359727,0.00337061145509656,0.00541292265616477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPATi,0.00218567462349516,0.0026671497428658,0.000782702853276411,0.0101054141776956,0.000601833763045819,0.000658113352705949,0.000968763008633496,0.00143709915500035,0.00849690851206784,0.000204597529164835,0.000670288354922434,0.000961077669245469,0.00778750643136372,0.00740032617543623,0.00790051860940355,0.00788154794752801,0.0079623801475111,0.00796093544899548,0.0079635267495661,0.00793254761954109,0.00324297805902137,2.87999999954991e-05,0.000956291273649661,0.000956295848768551,2.88000000000024e-05,0.00223676440519133,0.00129975122345728,0.00800337032855111,0.000680771020527457,0.00167766468586628,0.00202722660393726,0.00217653833871728,0.00349534019052788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEX7,0,0,0,0,0,0,0,0,0,0,0,0.325268060767108,2.63561124782133,1.31187483584599,1.43181811999482,1.42838004981693,1.44302934239334,1.44276751837746,1.44323714211925,1.43762276641718,0,0,0.229951526300177,0.229952626438552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49378881987577,0,0,0,0,0,0,0,0,0,0
DXPRIi,4.6176487209836,2.43930161348973,0.00900380053091915,0.116247351287171,0.00692317797559279,0.00757058867192786,0.0111441383597314,0.0165316302101249,0.0977439510433103,0.00235358199348252,0.00771064347172971,0.0110557302717878,0.0895833639136982,0.0851294465944775,0.0908833963644224,0.0906651678825064,0.0915950188496708,0.0915783998004489,0.0916082087545826,0.091251841192848,0.037305508019286,0.000331300000000002,0.0110006701028473,0.0110007227324581,0.000331299999820265,0.0257305572027748,0.01495165209484,0.0920665482586399,0.00783123052433114,3.47298143304901,0.0233201449265421,0.0250377483200334,0.0402085487889549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTPCII2,0.00169238000360921,0.00206518886339949,0.000606051167641102,0.00782467833897952,0.000466003226247269,0.000509580825185589,0.000750118579601607,0.00111275385960093,0.00657920346593912,0.000158421003485235,0.000519007997040668,0.000744167778632264,0.00602990949373819,0.00573011367056096,0.00611741545103106,0.00610272636214879,0.00616531518366333,0.00616419654557804,0.006166203004006,0.00614221569151981,0.611823763493866,2.22999999999945e-05,0.000740461645920604,0.000740465188450998,2.23e-05,0.00173193910540864,0.0010064045931631,0.00619705410856565,0.000527124783255614,0.00129902508662394,0.00156969282179864,0.00168530572754828,0.00270646132808239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
