Row,EFM_1_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_2_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_3_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_4_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_5_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_6_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_7_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_8_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_9_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_10_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_11_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_12_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_13_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_14_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_15_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_16_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_17_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_18_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_19_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_20_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_21_anchor_BIOMASS_Ec_iML1515_WT_75p37M,EFM_22_anchor_BIOMASS_Ec_iML1515_WT_75p37M
HYD1pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACTOOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2tpp_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23DAPPAtex_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECAP3pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEOXAMtonex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGAM1PPpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAMptspp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1423200700475,1.14451019754785,13.718794833825,0.57003172940553
GSNt2pp,0.393928383840466,3.19195827846556,3.03326008230959,3.23827992974181,3.2305041979651,3.26363585726781,3.26304370143188,3.2641058287484,3.25140804269573,1.93855086019061,29.3026115397057,25.9414468627711,25.9413548096171,0.0118046,0.916809343663977,0.53274455876471,5.61877725495132,1000,0.687644463567753,2.58702622536511,0,1e-07
EX_4hoxpacd_e_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNRx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSNtex_f,0.393928383840466,3.19195827846556,3.03326008230959,3.23827992974181,3.2305041979651,3.26363585726781,3.26304370143188,3.2641058287484,3.25140804269573,0,29.3026115397057,25.9414468627711,25.9413548096171,0.0118046,0.916809343663977,0.53274455876471,5.61877725495132,0.279035749615218,0,2.58702622536511,0,1e-07
SBTtex_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORtex_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHEt2rpp_f,0,0,2.31287173338129,0,0,0,0,0,0,1.01354887702081,0,0.298875887803301,0.298877317690891,0,0,0,0,0,0,0,0,0
DHBS,0,0,0,0,0,0,0,0,0,0,0,0.0011106924688809,0.0011106977826765,0,0,0,0,0,0,0,0,0
THIORDXi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_n2o_e_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPPGO3,0.00074416777863226,0.0060299094937382,0.00573011367056096,0.00611741545103116,0.00610272636214879,0.00616531518366333,0.00616419654557807,0.00616620300400602,0.00614221569151981,0,0,0,0,2.23e-05,0.00173193910540863,0.00100640459316309,0.00619705410856525,1.93042708367153e-05,0.00129902508662393,0.00156969282179864,0.00168530572754828,0.00270646132808238
PFK,0,0,0.393823260860326,0.451714894728271,0.450630240548534,0.455251849649293,0.45516924851014,0.455317407020022,0.453546164504085,0,0.0022669,0.0571882104380741,0.0571884840389757,0,0,0,0,0,0,0,0,0
PDX5POi,0,0,0,0,0,0,0,0,0,0,1.115e-05,0.0003702308229603,0.0003702325942255,0,0,0,0,0,0,0.00313938564359727,15.3999949903574,0.00541292265616477
PDX5PO2,0.00037208388931613,0.0030149547468691,0.00286505683528048,0,0,0,0,0,0,0,0,0,0,1.115e-05,0.000865969552704314,0.000503202296581546,0.00309852705428263,0,0,0,0,0
MDDCP1pp,0.0180685938897057,0.146407824905137,0.13912870165584,0.148532493092413,0.148175838062128,0.149695511488543,0.149668350654854,0.149717068005339,0.149134649604188,0.0685416925183803,0.0006087,0.0202116145234022,0.0202117112201849,0.00054145,0.0420519474719059,0.0244357743035047,0.150466141124783,0.0143883791734391,5.73580158080345,0.0381125640521467,0.0409196765103594,0.0657136092417133
GUI2_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMBZLM,0.000372083889316132,0.00301495474686912,0.00286505683528049,0.00305870772551558,0.0030513631810744,0.00308265759183167,0.00308209827278903,0.00308310150200301,0.0030711078457599,0.00125552796382445,1.115e-05,0.0003702308229603,0.0003702325942255,1.11499999775333e-05,0.000865969552704314,0.000503202296581546,0.00309852705428263,0.000263562391627806,0.000649512543311967,0.000784846410899318,0.000842652863774139,0.00135323066404119
PLIPA1A181pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGM_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPLIPAL2A141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTBO3_4pp,715.967350864837,725.928638401713,785.73165183839,748.782887779569,748.893316229174,748.97692805475,749.607441064845,748.971434416492,747.628856277136,0,29.4360743897059,0,0,0,0,0,1000,949.870171322841,631.931710119158,498.819706161326,0,0
GLYCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLTG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPDDA3,0,4.13578783397647,4.25458370481452,0,3.82650521176678,3.8657493851923,3.86504798155623,3.86630606248188,4.21281628804326,0,0,43.0190689253866,43.0190084361879,0,0,0,0,0,0,0,0,0
EAR141x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAR181x,0,0,0,0,0,0,0,0,0,0,0.0024313,0,0,0,0,0,0,0,0,0,0,0
TPI_f,0.0160855369280366,0.0895833639136982,0,0,0,0,0,0,0,1.35360552942903,0,0,0,0.0141929199997619,1.09570972172784,0.636700963259586,2.82436715736084,0,4.81929278039344,252.855930707409,33.7525303646513,1.48787408096355
EAR181y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141628685789631,0,0,0
G3PAT141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXAMTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDCPPtppi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGMH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3PAT181,0.0405671551611797,0.328711187267392,0.312368281776567,0.333481439150046,0.332680686194896,0.336092618969521,0.336031638144932,0.336141017121969,0.3348333858922,0.136886329078313,0.00121565,0.0403651210701067,0.0403653141856707,0.00121565,0.094413980873991,0.0548625894026328,0.337822817357729,0.0287353920522281,0,0,0,0
DASYN140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPTG,0.0467549269258832,0.37885001990759,0.172828450888758,0.18451002835711,0.184066984357905,0.185954753028339,0.185921013298467,0.185981530963877,0.185258039198037,0.075737050086845,0.0006726,0.0223333857868249,0.0223334926346252,0.00250093000000225,0.192371932434167,0.111784528562737,0.732703690419648,0.0158988398752343,5.73952389932521,0.0473441879794513,0.050831239118788,0.0816307573662875
DASYN180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPTG2,0.0011229258184294,0.00909894414638074,0.00864656165983751,0.00923098788911204,0.00920882251508103,0.00930326708207494,0.00930157909231847,0.00930460677510325,0.00926841067352653,0.0037891045724388,3.365e-05,0.00111733338050351,0.00111733872607068,3.365e-05,0.00261344174426011,0.00151863293990753,0.00935116012346282,0.00079541475141486,0.00196018807914329,0.0023686171952253,0.00254307344089684,0.00408396518789113
DASYN141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPI_f,0,0,0,0,0,0,0,0,0,1.54488815044931,0,0.0420784762687391,0.042078677581369,0,0,0,0,0.38334381631077,0,0,0,0
MCTP1App,0.0433878180082152,0.351566707444891,0.146901613697745,0.156830780867915,0.156454200055626,0.158058775358759,0.158030097089999,0.15808153620584,0.157466578961519,0.0719479455144062,0.00063895,0.0212160524063214,0.0212161539085545,0.0005717,0.0444013267516643,0.025800964390643,0.158872458917792,0.0151034251238195,5.73756371124607,0.044975570784226,0.0482881656778911,0.0775467921783964
MCTP2App,0.0011229258184294,0.00909894414638074,0.00864656165983751,0.00923098788911204,0.00920882251508103,0.00930326708207494,0.00930157909231847,0.00930460677510325,0.00926841067352653,0.0037891045724388,3.365e-05,0.00111733338050351,0.00111733872607068,3.365e-05,0.00261344174426011,0.00151863293990753,0.00935116012346282,0.00079541475141486,0.00196018807914329,0.0023686171952253,0.00254307344089684,0.00408396518789113
CDAPPA160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCTP1Bpp,0.00224418309923854,0.0181843683163181,0.017280275531176,0.0184482596000827,0.0184039617871976,0.0185927105875049,0.0185893371161491,0.0185953879829329,0.0185230495629914,0,0,0,0,0.00189558000000225,0.145357163938242,0.0844649312321868,0.564480071378393,0,0,0,0,0
PERD_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000865969552704314,0.000503202296581546,0.00309852705428263,0,0,0,15.3966243789024,0
MELIBt3ipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGSA141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_alaala_e_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686300673207924,0.00736848916753171,0.0118331829366831
5DOAN,0.00157176243827711,0.0127358178096444,0.0121026167660727,0.0129206398091286,0.0128896148725205,0.0130218091995759,0.0130194465155483,0.0130236843716898,0.0129730205861248,3.37810214481914e-05,3e-07,8.30113952825786e-05,0,0,0,0,0,5.90947066430059e-05,0.931846616791543,0.000175974531591775,0.0001889356196803,0.000303414947094438
DM_5drib_c,0.00157176243827711,0.0127358178096444,0.0121026167660727,0.0129206398091286,0.0128896148725205,0.0130218091995759,0.0130194465155483,0.0130236843716898,0.0129730205861248,3.37810214481914e-05,3e-07,8.30113952825786e-05,0,0,0,0,0,5.90947066430059e-05,0.931846616791543,0.000175974531591775,0.0001889356196803,0.000303414947094438
