metabolite_id,equilibrator_id
ugmda_c,C04882
12dgr161_c,MNXM3774
mobd_e,C06232
g3pi_e,C01225
nh4_e,C00014
tartr__D_c,C02107
g3pc_e,C00670
3oxdhscoa_c,C19945
23camp_p,C02353
idp_c,C00104
gslnt_c,MNXM148268
ahdt_c,C04895
uLa4n_c,cpd15576
hdca_e,C00249
ampnt_c,
cenchddd_c,C12622
tyrp_p,C06501
ps181_c,MNXM7662
f6p_c,C05345
pgp140_p,MNXM5272
uacmamu_c,C06240
ametam_c,C01137
hxcoa_c,MNXM162502
2agpg141_c,MNXM3452
cynt_p,C01417
3hcinnm_p,C12621
2agpg161_c,MNXM3453
pphn_c,C00254
cysi__L_p,C00491
ura_p,C00106
fald_e,C00067
prlp_c,C04916
uacgam_p,C00043
2ddara_c,
2mahmp_c,C04752
s7p_c,C05382
prfp_c,C04896
murein5p5p5p_p,cpd15512
nicrnt_c,C01185
murein4px4p_p,cpd15506
csn_e,C00380
tmrs2eACP_c,C05760
o2_e,C00007
pe180_c,CHEBI:39934
kdo8p_c,C04478
succ_e,C00042
ser__L_e,C00065
cpg180_c,cpd15436
mql8_c,CHEBI:61684
pg120_p,MNXM1771
amob_c,C04425
xtsn_e,C01762
ttdca_e,MNXM162239
2hdec9eg3p_c,cpd15354
5dglcn_c,C01062
cl_c,C00698
2oxpaccoa_c,C19975
mmcoa__S_c,C00683
glyc__R_c,C00258
mmet_e,C03172
dms_c,C00580
g6p_c,C00092
N1aspmd_c,C00612
trdrd_c,C00342
2dh3dgal_c,C01216
methf_c,C00445
ddcaACP_c,MNXM89851
mnl1p_c,C00644
agm_c,C00179
ala__L_p,C00041
prpp_c,C00119
hkndd_c,C04479
galur_p,C00333
all6p_c,C02962
allul6p_c,C18096
histd_c,C00860
for_p,C00058
orot_c,C00295
galt_p,C01697
fecrm_e,C06228
glc__D_p,C00031
damp_c,C00360
fmn_c,C00061
mal__D_e,C00497
3oddcoa_c,C05263
phe__L_p,C00079
g3pg_p,C03274
tsul_p,C00320
trnaglu_c,C01641
ppgpp_c,C01228
ins_e,C00294
thm_p,CHEBI:33283
ethso3_c,CHEBI:42465
arbtn_fe3_e,C05554
q8_c,C17569
acgam1p_p,C04256
orn_c,C00077
cl_e,C00698
stcoa_c,C00412
2ombzl_c,CHEBI:60655
murein5px4p_p,cpd15514
gthox_e,C00127
damp_p,C00360
dcaACP_c,MNXM90236
3gmp_e,C06193
etha_c,C00189
3hcddec5eACP_c,cpd15366
betald_c,C00576
udpglcur_p,C00167
2agpg140_p,cpd26437
tddec2eACP_c,C05758
hdca_c,C00249
1agpe180_p,C21484
fgam_c,C04376
pe180_p,CHEBI:39934
1agpg141_p,MNXM6604
2agpe181_c,MNXM3449
dd2coa_c,C03221
sufbcd_c,MNXM147307
iasp_c,C05840
3hpp_e,C01013
nadphx__R_c,
opmeACP_c,MNXM147801
meoh_p,C00132
bwco1gdp_c,MNXM148530
cit_c,C00158
skm5p_c,C03175
oaa_c,C00036
td2coa_c,C05273
acmet_c,
nadhx__S_c,
tre6p_c,C00689
23dhmp_c,C06007
tagur_c,C00558
man6p_c,C00275
acgam_e,C00140
hmbil_c,C01024
no3_e,C00244
fprica_c,C04734
ara5p_c,C01112
pnto__R_e,C00864
dtdprmn_c,C03319
mana_c,C00514
3dhguln_c,C00618
kdo_c,CHEBI:43577
glcn_e,C00257
duri_e,C00526
hqn_c,C00530
lipidA_c,C04919
glucys_c,C00669
2omph_c,C05812
sbt6p_c,C01096
scl_c,C05778
minohp_e,C01204
pppg9_c,C01079
csn_c,C00380
acnam_e,C00270
ac_p,C00033
ap5a_c,C04058
malthx_p,C01936
cgly_e,C01419
inost_c,C00137
seln_c,C01528
gmhep1p_c,C07838
fecrm_un_p,cpd15462
apoACP_c,cpd12370
o16a4colipa_p,cpd15518
ttdcea_c,MNXM641
ump_e,C00105
ni2_e,C19609
aso3_p,C06697
enter_p,C05821
thrp_p,C12147
cys__D_p,C00793
ch4_e,C01438
o2s_e,C00704
murein5px4px4p_p,cpd15515
ag_c,C06710
3cmp_p,C05822
1ddecg3p_c,CHEBI:62840
pg141_c,MNXM2029
crn__D_c,C15025
pa120_c,cpd15521
pe161_p,cpd29055
gthox_p,C00127
udpgal_e,C00052
2agpe161_c,MNXM3448
pg180_p,cpd15540
udpacgal_p,C00203
2odec11eg3p_p,cpd15357
12ppd__R_e,C02912
forcoa_c,C00798
glyc2p_e,C02979
moadcosh_c,MNXM148354
1agpe140_p,CHEBI:84299
murein5p3p_p,cpd15509
rephaccoa_c,MNXM148501
ttrcyc_e,C06570
pa180_c,CHEBI:82921
his__L_c,C00135
2fe2s_c,CHEBI:21134
didp_c,C01344
23doguln_p,C04575
ribflv_c,C00255
pg161_p,cpd15539
lac__L_e,C00186
so4_c,C00059
6pgl_c,C01236
2agpg141_p,MNXM3452
ptrc_c,C00134
2dda7p_c,C04691
itp_c,C00081
1hdec9eg3p_p,cpd15326
2mcit_c,C02225
sl2a6o_c,C04462
iscu_4fe4s_c,MNXM148286
cmp_c,C00055
dtdpglu_c,C00842
cm_p,C00918
g3pi_c,C01225
gtp_c,C00044
cur_c,
uacgam_c,C00043
uaccg_c,C04631
lipidAds_c,C04932
h2mb4p_c,C11811
galct__D_p,C00879
glcur_p,C00191
prcp_c,
maltpt_p,CHEBI:61952
fc1p_c,C01099
btn_c,C00120
so4_p,C00059
succ_c,C00042
feoxam_un_c,cpd15463
cbl1_e,C00853
gam6p_c,C00352
xylu__L_c,C00312
mso3_c,C11145
aps_c,C00224
Sfglutth_c,C01031
xylu__L_e,C00312
arg__L_p,C00062
thdp_c,C03972
gam_p,C00329
pe140_c,MNXM2859
pgp120_c,MNXM5266
cdp_c,C00112
clpn180_p,MNXM5079
glyb_p,C00719
ipdp_c,C00129
lac__L_p,C00186
2agpe180_p,CHEBI:133144
ppbng_c,C00931
gam6p_p,C00352
meoh_c,C00132
pydx_e,C00250
metsox_R__L_c,C15998
pheme_c,C00032
hmgth_c,C14180
fe3dcit_c,C06229
gua_e,C00242
4hthr_c,C06056
sel_e,C05697
12ppd__S_c,C02917
glyc__R_e,C00258
2ohph_c,C05811
eca4colipa_e,cpd15457
2dglc_p,C00586
sucglu_c,C05931
no_c,C00533
cyan_e,C00177
op4en_c,CHEBI:11641
hom__L_p,C00263
nadph_c,C00005
dmso_c,C11143
acglu_c,C00624
3hddecACP_c,C05757
2obut_c,C00109
dtdp4d6dm_c,C00688
dmpp_c,C00235
cddec5eACP_c,MNXM163784
gthrd_p,C00051
malttr_c,C01835
1odec11eg3p_p,cpd15328
rbflvrd_c,C01007
sucarg_c,C03296
tagdp__D_c,C03785
iscu_c,MNXM147128
arab__L_p,C11476
cxsam_c,
crn_c,C00318
gsn_p,C00387
dnad_c,C00857
mteo2_c,
glyc_c,C00116
no3_p,C00244
val__L_c,C00183
pro__L_c,C00148
ddca_p,MNXM162258
ala_B_e,C00099
cbasp_c,C00438
mobd_c,C06232
mqn8_c,CHEBI:44027
lac__D_p,C00256
fecrm_un_e,cpd15462
ala__D_p,C00133
fuc__L_e,CHEBI:48204
malACP_c,C01209
malthp_c,CHEBI:62010
tsul_e,C00320
lipa_cold_c,CHEBI:61522
3cmp_e,C05822
sarcs_c,C00213
butso3_e,cpd11596
ptrc_e,C00134
acgal1p_p,C18060
hxa_e,C01585
3hpppn_c,C11457
fe3hox_c,C06227
acgal1p_e,C18060
leu__L_p,C00123
malthx_e,C01936
lyx__L_p,C01508
3sala_c,C00606
feoxam_p,C07597
3hdecACP_c,C04619
taur_p,C00245
cdec3eACP_c,MNXM7186
3hcmrs7eACP_c,cpd15368
h2o2_p,C00027
glu__L_p,C00025
dimp_e,C06196
3ump_e,C01368
pe161_c,cpd29055
2odecg3p_p,cpd15358
nac_p,C00253
1tdecg3p_p,CHEBI:62833
anhgm_p,cpd15396
udpLa4o_c,C16155
ethso3_e,CHEBI:42465
psclys_e,CHEBI:61403
unagamuf_p,cpd15582
tartr__D_p,C02107
n2o_p,C00887
udpgal_p,C00052
gfgaragund_c,cpd15473
3oddecACP_c,C05756
na15dap_c,C16565
quin_e,C00296
glyc__R_p,C00258
3amac_c,C20253
pg181_c,MNXM1773
ethso3_p,CHEBI:42465
12dgr141_c,MNXM4940
lipoate_c,C00725
3ooctdACP_c,cpd15377
but2eACP_c,C04246
pgp161_p,cpd15546
fe3dhbzs3_c,MNXM146250
12dgr180_c,MNXM4217
psuri_e,
ddca_c,MNXM162258
pyr_c,C00022
xdp_c,C01337
dump_c,C00365
acon_C_c,C00417
dsbgrd_p,cpd15453
23dhacoa_c,CHEBI:67261
4mpetz_c,C04327
ppal_e,C00479
ru5p__L_c,C01101
sucr_e,C00089
3hadpcoa_c,C14145
ocdcap_c,MNXM147528
lac__L_c,C00186
mal__D_c,C00497
acolipa_e,cpd15392
anhm_c,cpd15399
urea_e,C00086
4fe4s_c,CHEBI:33725
gcald_c,C00266
fe3_p,C14819
fusa_e,C06694
tyrp_e,C06501
hdcea_e,MNXM950
gdpddman_c,C01222
dhptdn_c,C05649
galct__D_c,C00879
grxox_c,cpd15480
4hbz_p,C00156
1tdec7eg3p_c,cpd15330
pgp180_c,cpd15547
2ddecg3p_p,cpd15350
dha_c,C00184
gthrd_e,C00051
urdglyc_c,C00603
prpncoa_c,C00894
dcacoa_c,MNXM162283
so3_e,C00094
acgam_p,C00140
2hdec9eg3p_p,cpd15354
sel_c,C05697
3fe4s_c,MNXM147396
lipoamp_c,C16238
icit_c,C00311
2dglc_e,C00586
melib_p,CHEBI:61827
rmn_p,C00507
galctn__D_p,C00880
lac__D_c,C00256
frulys_e,C16488
nadh_c,C00004
2dr5p_c,C00673
amp_c,C00020
cmp_e,C00055
pydam_e,C00534
3php_c,C03232
dtdp_c,C00363
dhf_c,C00415
gmp_p,C00144
56dura_c,C00429
4hoxpacd_p,C03765
for_c,C00058
urate_c,C00366
pi_e,C00009
3amp_e,C01367
h2_c,C00282
14glucan_e,cpd21754
thmmp_c,C01081
psd5p_c,MNXM148492
b2coa_c,C00877
fe3_e,C14819
asp__L_e,C00049
athr__L_c,C05519
3opalmACP_c,C05762
3hcvac11eACP_c,cpd15370
sq_p,
thr__L_e,C00188
maltpt_e,CHEBI:61952
metsox_S__L_e,C02989
acampnt_c,
coa_c,C00010
kdo2lipid4L_c,C06251
asn__L_c,C00152
nac_c,C00253
4per_c,C03393
no2_c,C00088
15dap_e,C01672
udp_c,C00015
hdd2coa_c,C05272
hxan_c,C00262
2dh3dgal6p_c,C01286
no_e,C00533
ap4a_c,C01260
leu__L_c,C00123
25aics_c,C04823
meoh_e,C00132
melib_e,CHEBI:61827
35cgmp_c,C00942
2ddglcn_p,C00204
adocbip_c,C06509
etha_e,C00189
gdpfuc_c,C00325
glyc3p_p,C00093
unaga_c,C01289
k_p,C00238
gtp_p,C00044
xylu__L_p,C00312
maltttr_e,C02013
glcur_e,C00191
metsox_S__L_c,C02989
crncoa_c,C20750
fe3hox_e,C06227
3ump_p,C01368
g3ps_p,CHEBI:61931
ggbutal_c,C15700
gbbtn_e,C01181
pg140_c,CHEBI:60723
4abz_c,C00568
mso3_p,C11145
pa140_p,CHEBI:62085
LalaDgluMdap_c,cpd15386
cbl1_p,C00853
enter_e,C05821
apg180_c,cpd26442
colipa_c,cpd15432
LalaLglu_c,C20958
appl_c,C03194
aragund_c,cpd15410
2dglc_c,C00586
14dhncoa_c,MNXM147663
3omrsACP_c,C05759
o16a2und_p,cpd15516
mmet_c,C03172
pgp181_c,MNXM5269
acald_c,C00084
cpe180_c,cpd15434
acgam1p_e,C04256
5aprbu_c,C04454
pa141_p,cpd15523
5aop_c,C00430
12dgr141_p,MNXM4940
pa180_p,CHEBI:82921
oc2coa_c,C05276
2agpe141_c,MNXM3447
rdmbzi_c,C05775
1agpe141_p,MNXM6599
ctbtcoa_c,C20748
1agpg161_p,MNXM6606
3hmrsACP_c,C04688
LalaDglu_e,C20957
pram_c,C03090
sufbcd_2fe2s2_c,MNXM148512
urate_e,C00366
oxur_c,C00802
ocdceap_c,MNXM147529
cm_e,C00918
agm_e,C00179
cdg_c,C20248
feenter_c,C06230
iscs_c,MNXM146401
fe3dhbzs3_p,MNXM146250
na1_c,C01330
3c4mop_c,C04236
dxylnt_c,
lys__L_p,C00047
urdgci_c,
hcys__L_c,C00155
no3_c,C00244
mal__L_e,C00149
co2_c,C00011
4ppcys_c,C04352
phe__L_e,C00079
cpgn_e,CHEBI:83101
pi_p,C00009
alltt_c,C00499
fum_e,C00122
cpgn_p,CHEBI:83101
acald_e,C00084
h2_p,C00282
tym_p,C00483
etoh_p,C00469
25drapp_c,C01304
gthox_c,C00127
peamn_e,C05332
gar_c,C03838
tungs_c,C20679
23ccmp_p,C02354
arbtn_c,cpd15411
enter_c,C05821
cu_p,CHEBI:23379
fe3hox_p,C06227
feoxam_un_e,cpd15463
udpacgal_e,C00203
ump_p,C00105
lald__D_c,C00937
cmp_p,C00055
fe3hox_un_e,cpd15461
acetol_c,C05235
pydxn_e,C00314
23cgmp_e,C06194
murein4px4px4p_p,cpd15508
23dhbzs_c,C04204
tym_e,C00483
3haACP_c,C01271
3ooctACP_c,C05750
pser__L_e,C01005
3ocmrs7eACP_c,cpd15374
so2_c,C09306
1odecg3p_c,CHEBI:74565
poaac_c,C20249
2agpe120_p,cpd26439
cdpdhdecg_c,cpd15419
5mtr_e,C03089
hdcea_p,MNXM950
2agpg160_p,cpd25200
2agpe180_c,CHEBI:133144
2agpg161_p,MNXM3453
moco_c,CHEBI:60525
1tdec7eg3p_p,cpd15330
3hpp_c,C01013
2ddg6p_c,C04442
mincyc_e,C07225
1agpg140_p,CHEBI:72826
arab__L_c,C11476
sufbcd_4fe4s_c,MNXM148511
dhcur_c,
ade_c,C00147
rml_c,C00861
rfamp_e,C06688
acg5p_c,C04133
rfamp_p,C06688
4pasp_c,C03082
glu5p_c,C03287
h2o_e,C00001
ch4_c,C01438
23dhdp_c,C03340
3mop_c,C00671
3htdcoa_c,C05260
dgtp_c,C00286
rib__D_e,C00121
fad_c,C00016
uri_e,C00299
4ahmmp_c,C01279
trp__L_e,C00078
dpcoa_c,C00882
2ommbl_c,CHEBI:60656
23ddhb_c,C04171
din_e,C05512
36dahx_c,C01142
melib_c,CHEBI:61827
udcpp_c,C00348
dcamp_c,C03794
kdo2lipid4_c,C06025
galct__D_e,C00879
udpglcur_c,C00167
4h2opntn_c,C03589
btnso_c,C20386
myrsACP_c,MNXM89779
selnp_c,C05172
camp_c,C00575
dtbt_c,C01909
galur_e,C00333
gmhep17bp_c,CHEBI:4188
ACP_c,C00229
met__D_p,C00855
palmACP_c,MNXM2026
alltn_p,C01551
dad_2_p,C00559
suc6p_c,C02591
etha_p,C00189
dgmp_p,C00362
23dappa_p,C03401
g3pi_p,C01225
23camp_e,C02353
uLa4n_p,cpd15576
cu_c,CHEBI:23379
cpgn_un_p,cpd15438
ps141_c,MNXM7664
pgp141_p,MNXM5271
pgp180_p,cpd15547
psclys_p,CHEBI:61403
4abzglu_c,
dhps_e,
erthrs_c,
succoa_c,C00091
xyl__D_c,C00181
sucsal_c,C00232
alltn_c,C01551
3hdcoa_c,C05264
mnl_e,C00392
for_e,C00058
kdolipid4_c,C06024
seramp_c,C05820
ade_p,C00147
sbt__D_p,C00794
12ppd__S_p,C02917
dca_p,MNXM162295
fe3dcit_p,C06229
h2o2_e,C00027
23cump_e,C02355
eca2und_p,cpd15455
cl_p,C00698
murein4p3p_p,cpd15504
12dgr160_p,MNXM3132
1agpg120_p,cpd26430
tungs_e,C20679
5fthf_c,C03479
arbtn_fe3_c,C05554
