metabolite_id,equilibrator_id
cgly_c,C01419
phhlipa_c,cpd15549
alpp_p,cpd15395
lpp_p,C01834
5mtr_p,C03089
1agpe181_p,MNXM9584
sf_c,
fuc__L_c,CHEBI:48204
ghb_c,C00989
4abutn_c,C00555
accoa_c,C00024
arg__L_c,C00062
LalaLglu_p,C20958
26dap_LL_c,C00666
tma_e,C00565
mdhdhf_c,CHEBI:71316
occoa_c,C01944
moadamp_c,MNXM148352
lyx__L_e,C01508
mththf_p,C21382
gtp_e,C00044
3hbz_c,
man6p_p,C00275
cellb_e,C00185
prpmn_c,
uamr_c,C01050
fecrm_un_c,cpd15462
asp__L_c,C00049
lipa_cold_p,CHEBI:61522
sbt__D_e,C00794
acg5sa_c,C01250
arg__L_e,C00062
murein3p3p_p,cpd15501
hexACP_c,MNXM90722
dgsn_e,C00330
spmd_e,C00315
pg161_c,cpd15539
skm_c,C00493
pe120_p,MNXM2858
sucgsa_c,C05932
imp_c,C00130
tartr__L_c,C00898
ppal_p,C00479
colipap_p,MNXM147454
o2_c,C00007
dhps_p,
ocdcea_c,C00712
h_p,C00080
3hbcoa_c,C01144
succ_p,C00042
gal_p,C00124
2hptcl_c,
phpyr_c,C00166
s17bp_c,C00447
4ampm_c,CHEBI:44219
maltttr_p,C02013
pydxn_c,C00314
met__D_c,C00855
fru_e,C00095
sucorn_c,C03415
pyr_e,C00022
dtmp_p,C00364
dhcinnm_c,C12623
aso4_c,C01478
acgal_p,C01132
dtdp4addg_c,C04346
unagamuf_c,cpd15582
idon__L_c,C00770
malttr_e,C01835
cys__D_e,C00793
pac_c,C00548
pgp160_p,cpd15545
cbm_c,C01563
5mthf_c,C00440
3hpppn_e,C11457
ppt_e,C06701
pmeACP_c,C19846
ctbt_c,C04114
nad_c,C00003
na1_p,C01330
glyald_p,C00577
r1p_c,C00620
tdeACP_c,MNXM162426
5mta_c,C00170
23dhba_c,C04030
val__L_e,C00183
ddcacoa_c,C01832
gdpofuc_c,CHEBI:21155
rbl__D_c,C00309
chol_c,C00114
his__L_p,C00135
malt_c,C00208
hom__L_e,C00263
no2_p,C00088
dcmp_e,C00239
dgmp_e,C00362
rhcys_c,C03539
cd2_e,C01413
met__D_e,C00855
gbbtn_c,C01181
fald_c,C00067
Nmtrp_c,C02983
23ccmp_e,C02354
dmso_e,C11143
udpg_e,C00029
icolipa_c,cpd26459
acgal_e,C01132
r15bp_c,C01151
g3pe_p,C01233
crn__D_p,C15025
3ocvac11eACP_c,cpd15376
cd2_p,C01413
3hoctaACP_c,C16220
2agpe181_p,MNXM3449
arab__D_c,C00216
2doxg6p_c,C06369
ocdca_c,C01530
murein4px4p4p_p,cpd15507
2agpg180_c,cpd26427
2tdec7eg3p_p,cpd15362
sulfac_c,C14179
mg2_c,C00305
dt5hsu_c,
acmalt_c,C02130
malcoame_c,CHEBI:71242
slnt_p,C05684
gmeACP_c,C20375
1hdecg3p_c,cpd15327
hgmeACP_c,C20373
pg141_p,MNXM2029
mpt_c,C05924
ttrcyc_p,C06570
4crsol_c,C01468
apg181_c,MNXM7023
pydx_p,C00250
2sephchc_c,C16519
cellb_p,C00185
adp_c,C00008
dhps_c,
mal__L_c,C00149
urea_c,C00086
gam_c,C00329
mercpeth_c,
psuri_p,
5apru_c,C01268
g3p_c,C00118
puacgam_p,
etoh_c,C00469
pnto__R_c,C00864
nadphx__S_c,
gdptp_c,C04494
3hddcoa_c,C05262
so3_c,C00094
met__L_c,C00073
aicar_c,C04677
altrn_c,C00817
thymd_e,C00214
ncam_c,C00153
5aizc_c,C04751
fruur_c,C00905
sucbz_c,C02730
ac_e,C00033
glx_c,C00048
k_e,C00238
lipidX_c,C04824
apg140_c,cpd26440
dhna_c,C03657
etoh_e,C00469
galctn__L_c,C15930
mi1p__D_c,C01177
pro__L_e,C00148
taur_e,C00245
lipa_cold_e,CHEBI:61522
bwcogdp_c,MNXM149209
ppp9_c,C02191
thptdn_c,C05650
glcn_p,C00257
gua_p,C00242
air_c,CHEBI:12101
6pgc_c,C00345
6hmhptpp_c,C04807
udpgal_c,C00052
nh4_c,C00014
fe3hox_un_p,cpd15461
xmp_e,C00655
pydam_c,C00534
so3_p,C00094
rml1p_c,C01131
gam6p_e,C00352
cytd_c,C00475
glcur1p_e,C05385
nac_e,C00253
tdec2eACP_c,C05754
thym_c,C00178
galctn__D_c,C00880
sbzcoa_c,C03160
gal_e,C00124
3hpp_p,C01013
pimACP_c,C19845
micit_c,C04593
dhcholn_c,
acnam_c,C00270
hdeACP_c,MNXM89949
dha_e,C00184
pi_c,C00009
acmana_p,C00645
argsuc_c,C03406
aacald_c,C06735
gbbtn_p,C01181
nh4_p,C00014
4abut_p,C00334
chor_c,C00251
hom__L_c,C00263
cbi_p,CHEBI:48529
thymd_c,C00214
mnl_p,C00392
gal_bD_e,C00962
12ppd__R_c,C02912
dgdp_c,C00361
glu1sa_c,C03741
dad_5_c,C05198
imp_p,C00130
LalaDgluMdap_p,cpd15386
cit_e,C00158
glcur1p_p,C05385
leu__L_e,C00123
hhlipa_c,CHEBI:61507
skm_p,C00493
crnDcoa_c,CHEBI:62047
zn2_c,C00038
q8h2_c,CHEBI:61682
ala__D_e,C00133
murein5px3p_p,cpd15513
fe2_e,C14818
skm_e,C00493
2agpe161_p,MNXM3448
3odecACP_c,C05753
galt_e,C01697
5dglcn_e,C01062
unagamu_c,C20497
5prdmbz_c,C04778
1tdecg3p_c,CHEBI:62833
pa140_c,CHEBI:62085
cdpdtdec7eg_c,CHEBI:103990
cynt_e,C01417
dgslnt_c,C18870
cit_p,C00158
xan_p,C00385
2agpe140_c,cpd26435
teo2_c,
sufsesh_c,MNXM147310
tyr__L_c,C00082
fruur_p,C00905
ggptrc_c,CHEBI:48006
cys__L_c,C00097
4abzglu_e,
2aobut_c,C03508
sulfac_e,C14179
lkdr_c,
ps160_c,CHEBI:111515
4r5au_c,C04732
3hbzcoa_c,
gam_e,C00329
pg120_c,MNXM1771
2agpe141_p,MNXM3447
met__L_e,C00073
xylu__D_c,C00310
4hbz_c,C00156
amet_c,C00019
dscl_c,C02463
hxa_c,C01585
h2s_c,C00283
phthr_c,C06055
acmana_e,C00645
3oocoa_c,C05267
n8aspmd_c,C01029
acgam1p_c,C04256
ascb__L_e,C00072
malt_e,C00208
thymd_p,C00214
mn2_e,C19610
ditp_c,C01345
u23ga_c,C04652
23dappa_e,C03401
um4p_c,cpd15579
3hppnl_c,C00969
cs1_e,
glyc2p_c,C02979
wco_c,MNXM148528
uLa4fn_c,cpd15575
lipa_p,C06026
glc__D_c,C00031
zn2_p,C00038
dhmpt_c,MNXM148224
e4p_c,C00279
mincyc_p,C07225
hg2_c,C00703
man1p_c,C00636
2tpr3dpcoa_c,C19771
bglycogen_c,cpd15413
sq_c,
sfp_c,
trp__L_c,C00078
sq_e,
dsbdox_c,cpd15450
acser_c,C00979
progly_e,CHEBI:61695
5phdt_c,
lys__L_c,C00047
adpglc_c,C00498
ogmeACP_c,MNXM147799
hpmeACP_c,C20377
dudp_c,C01346
2shchc_c,C05817
4ppan_c,C03492
sufse_c,MNXM147309
dxyl5p_c,C11437
cs1_p,
23dhb_c,C00196
man_e,C00159
2mecdp_c,C11453
atp_c,C00002
acmana_c,C00645
rbl__L_c,C00508
dcyt_e,C00881
fcl__L_c,C01721
orot_e,C00295
agdpcbi_c,C06510
indole_c,C00463
eig3p_c,C04666
h2_e,C00282
26dap__M_c,C00680
u3aga_c,C04738
nmn_e,C00455
thm_c,CHEBI:33283
thf_c,C00101
man6p_e,C00275
orot5p_c,C01103
feoxam_c,C07597
h_e,C00080
csn_p,C00380
aact_c,C01888
gln__L_p,C00064
glyc_p,C00116
cytd_p,C00475
thr__L_p,C00188
asn__L_e,C00152
fuc__L_p,CHEBI:48204
5caiz_c,C15667
dhnpt_c,C04874
pyam5p_c,C00647
ttdca_p,MNXM162239
acgam_c,C00140
metsox_S__L_p,C02989
mal__L_p,C00149
pacald_p,C00601
eca4colipa_p,cpd15457
lcts_e,C00243
btcoa_c,C00136
tmao_p,C01104
u3hga_c,C06022
tdcoa_c,C02593
udpglcur_e,C00167
hxa_p,C01585
murein3px3p_p,cpd15502
3hcpalm9eACP_c,cpd15369
dca_e,MNXM162295
mobd_p,C06232
malt6p_c,C02995
met__L_p,C00073
g1p_p,C00103
ser__L_p,C00065
3ocpalm9eACP_c,cpd15375
2ddecg3p_c,cpd15350
anhgm3p_c,cpd15397
1agpe161_p,MNXM6601
octa_p,C06423
ggagicolipa_c,cpd15475
chtbs_e,MNXM722863
dopa_e,C03758
ppa_p,MNXM162260
msa_c,C00222
pser__L_p,C01005
slnt_c,C05684
isetac_e,C05123
fe3dhbzs_p,cpd15460
cpgn_c,CHEBI:83101
butACP_c,MNXM90458
metglcur_e,
cu_e,CHEBI:23379
dgsn_c,C00330
1hdec9eg3p_c,cpd15326
cdpdtdecg_c,CHEBI:103211
pe181_c,MNXM2150
dttp_c,C00459
pe120_c,MNXM2858
but_c,MNXM162281
pe160_p,CHEBI:73005
pg160_p,CHEBI:72829
2agpg160_c,cpd25200
glutrna_c,C02987
pa120_p,cpd15521
adn_e,C00212
3otdcoa_c,C05261
ddcap_c,MNXM147470
3hhdcoa_c,C05258
octdp_c,C04146
hdcap_c,MNXM147481
cinnm_c,C00423
hx2coa_c,C05271
egmeACP_c,C20374
uacmam_c,C01170
arbt6p_c,C06187
cph4_c,C20239
ttdca_c,MNXM162239
glycogen_c,C00182
iscu_2fe2s2_c,MNXM148287
ahcys_c,C00021
pydx_c,C00250
tma_p,C00565
fe3dcit_e,C06229
thmnp_c,C21007
fe3hox_un_c,cpd15461
lac__D_e,C00256
trdox_c,C00343
2mcacn_c,C04225
damp_e,C00360
5mtr_c,C03089
o16a4und_p,cpd15519
aconm_c,C11514
adn_p,C00212
3ig3p_c,C03506
asn__L_p,C00152
n2o_c,C00887
sl26da_c,C04421
hg2_e,C00703
dgsn_p,C00330
3hoctACP_c,C04620
dctp_c,C00458
toctd2eACP_c,C16221
manglyc_p,C11544
dms_p,C00580
din_c,C05512
h2s_p,C00283
dsbcox_p,cpd15448
ichor_c,C00885
clpn160_p,CHEBI:104586
clpn181_p,CHEBI:105685
feoxam_e,C07597
lipoate_e,C00725
pacald_c,C00601
arbt_p,C06186
cpppg3_c,C03263
ttdceap_c,MNXM147614
cpmp_c,cpd19505
isetac_c,C05123
anhgm4p_c,cpd15398
3ohcoa_c,C05269
gggagicolipa_c,cpd15477
doxrbcn_e,C01661
dxylnt_p,
ser__D_e,C00740
2hptcoa_c,
grxrd_c,cpd15481
so2_e,C09306
ohpb_c,C06054
cys__D_c,C00793
pa161_c,cpd15525
ru5p__D_c,C00199
23dhmb_c,C04272
amp_e,C00020
galur_c,C00333
arab__L_e,C11476
pgp140_c,MNXM5272
o2s_c,C00704
pgp161_c,cpd15546
ps180_c,CHEBI:84519
lald__L_c,C00424
ugmd_c,CHEBI:13460
6hmhpt_c,C01300
ppcoa_c,C00100
pe141_c,MNXM3693
cpg160_c,cpd15435
fecrm_c,C06228
adocbi_c,C06508
ile__L_p,C00407
acac_c,C00164
crn__D_e,C15025
acmanap_c,C04257
nmn_p,C00455
pppn_e,C05629
13ppd_c,C02457
hxan_p,C00262
pran_c,C04302
3hcinnm_e,C12621
gsn_c,C00387
metsox_R__L_p,C15998
ins_c,C00294
tmao_c,C01104
tsul_c,C00320
23cgmp_p,C06194
man6pglyc_c,C16699
ura_c,C00106
LalaDgluMdap_e,cpd15386
chol_e,C00114
gly_e,C00037
oxam_c,C01444
dha_p,C00184
cgly_p,C01419
LalaDgluMdapDala_c,cpd15387
8aonn_c,C01092
2hdecg3p_c,cpd15355
pdx5p_c,C00627
colipa_p,cpd15432
23doguln_c,C04575
1agpg160_p,CHEBI:72825
tmao_e,C01104
colipa_e,cpd15432
glyc2p_p,C02979
4abzglu_p,
pe141_p,MNXM3693
acac_p,C00164
34dhpha_c,C01161
but_p,MNXM162281
34dhpac_p,C04043
lipa_e,C06026
pe181_p,MNXM2150
12dgr140_p,MNXM146479
2hdecg3p_p,cpd15355
glcn_c,C00257
oxadpcoa_c,C02232
enlipa_e,C21173
n2o_e,C00887
mptamp_c,C19848
paps_c,C00053
cobalt2_c,C00175
utp_c,C00075
cobalt2_p,C00175
dhor__S_c,C00337
mmet_p,C03172
aso3_e,C06697
glyc_e,C00116
adn_c,C00212
4mop_c,C00233
gal1p_c,C00446
dsbgox_p,cpd15452
2me4p_c,C11434
pg140_p,CHEBI:60723
dann_c,C01037
tre_c,C01083
gdpmann_c,C00096
2h3oppan_c,C01146
hpyr_c,C00168
2agpg181_c,MNXM3455
apg120_c,cpd26441
apg160_c,cpd26443
dad_2_e,C00559
mchtbs6p_c,
fdp_c,C00354
mthgxl_c,C00546
tartr__L_e,C00898
cbi_c,CHEBI:48529
octa_e,C06423
thym_e,C00178
gdp_e,C00035
rmn_c,C00507
dtmp_c,C00364
dmso_p,C11143
fecrm_p,C06228
gdp_p,C00035
gdp_c,C00035
ins_p,C00294
man_c,C00159
uaagmda_c,C05898
4hoxpacd_e,C03765
acser_p,C00979
k_c,C00238
o2_p,C00007
ala_B_p,C00099
cbi_e,CHEBI:48529
tungs_p,C20679
crn_e,C00318
dtmp_e,C00364
fe2_c,C14818
cdpdodecg_c,CHEBI:104121
ps140_c,MNXM7665
12dgr160_c,MNXM3132
2tdecg3p_c,cpd15363
thm_e,CHEBI:33283
glyald_e,C00577
12dgr181_c,MNXM3775
indole_e,C00463
2tdec7eg3p_c,cpd15362
dsbcrd_p,cpd15449
bmocogdp_c,MNXM147054
mg2_e,C00305
pgp181_p,MNXM5269
mththf_e,C21382
dhptdp_c,
orot_p,C00295
LalaDglu_p,C20957
cdigmp_c,MNXM148172
uri_c,C00299
dad_2_c,C00559
datp_c,C00131
cholate_c,C00695
3hhcoa_c,C05268
34dphacoa_c,
puacgam_c,
ppi_c,C00013
nadp_c,C00006
S2hglut_c,C03196
glyclt_p,C00160
metglcur_p,
xtsn_p,C01762
glu__L_c,C00025
g1p_c,C00103
fum_c,C00122
akg_p,C00026
acorn_c,C00437
frulys_c,C16488
spmd_c,C00315
glu5sa_c,C01165
ile__L_c,C00407
g3pg_e,C03274
2dhp_c,C00966
ocACP_c,MNXM90185
ttdcea_p,MNXM641
3dhq_c,C00944
hisp_c,C01100
aacoa_c,C00332
2agpe160_c,CHEBI:131743
so4_e,C00059
hemeO_c,C15672
orn_e,C00077
kdo2lipid4_p,C06025
4abut_e,C00334
athtp_c,CHEBI:71393
galt1p_c,C06311
glu__L_e,C00025
ppa_c,MNXM162260
3ohodcoa_c,C16216
2oph_c,C05810
taur_c,C00245
ckdo_c,C04121
uamag_c,C00692
23dhbzs3_c,MNXM145882
glcr_c,C00818
dhpt_c,C00921
sqg_c,
gmhep7p_c,C07836
fad_p,C00016
manglyc_e,C11544
ascb__L_p,C00072
od2coa_c,C16218
idon__L_p,C00770
urea_p,C00086
rhmn_c,
cbp_c,C00169
agm_p,C00179
3mob_c,C00141
suchms_c,C01118
gicolipa_c,cpd15479
halipa_e,cpd15483
chol_p,C00114
butso3_c,cpd11596
dcyt_c,C00881
3hpppn_p,C11457
dc2coa_c,C05275
lipoate_p,C00725
minohp_p,C01204
2agpg120_p,MNXM3450
dcmp_p,C00239
2agpg180_p,cpd26427
acglc__D_c,C02655
eca3und_p,cpd15456
r5p_p,C03736
1agpe120_p,cpd26432
ragund_c,cpd15562
oxa_c,C00209
r5p_e,C03736
no_p,C00533
acser_e,C00979
dxylnt_e,
murein4p4p_p,cpd15505
nalme_c,
mn2_p,C19610
tpalm2eACP_c,C05763
3hpalmACP_c,C04633
12dgr140_c,MNXM146479
udpg_c,C00029
gln__L_c,C00064
pgp160_c,cpd15545
3c3hmp_c,C02504
apg161_c,MNXM7021
pe160_c,CHEBI:73005
tartr__D_e,C02107
anth_c,C00108
enlipa_p,C21173
pap_c,C00054
pg181_p,MNXM1773
xmp_c,C00655
r2hglut_c,
thcur_c,
5phua_c,
ile__L_e,C00407
nadhx__R_c,
2omhmbl_c,CHEBI:1231
uppg3_c,C01051
3hocoa_c,C05266
2cpr5p_c,C01302
uagmda_c,C05897
5dh4dglc_c,C00679
dcmp_c,C00239
cechddd_c,CHEBI:48690
25dkglcn_c,C02780
his__L_e,C00135
dgmp_c,C00362
hxan_e,C00262
adphep_DD_c,C06397
4mhetz_c,C04294
h2s_e,C00283
na1_e,C01330
tyr__L_e,C00082
acac_e,C00164
2dmmq8_c,CHEBI:48455
4adcho_c,C11355
fmn_e,C00061
cys__L_e,C00097
glyc3p_e,C00093
rib__D_p,C00121
26dap__M_e,C00680
xyl__D_p,C00181
3hcinnm_c,C12621
inost_p,C00137
pppn_c,C05629
ocdca_p,C01530
dtdp4aaddg_c,C20415
malthx_c,C01936
maltpt_c,CHEBI:61952
g3ps_e,CHEBI:61931
acon_T_c,C02341
3gmp_p,C06193
maltttr_c,C02013
bbtcoa_c,C20749
duri_p,C00526
anhgm4p_p,cpd15398
ddca_e,MNXM162258
udpLa4n_c,C16153
tartr__L_p,C00898
octeACP_c,MNXM89950
26dap__M_p,C00680
hacolipa_e,MNXM11799
gtspmd_c,C05730
o16aund_c,cpd15520
o16aund_p,cpd15520
3hhexACP_c,C05747
adocbl_p,C00194
acolipa_p,cpd15392
butso3_p,cpd11596
cys__L_p,C00097
cpgn_un_c,cpd15438
ps161_c,MNXM7660
t3c5ddeceACP_c,cpd15569
ps120_c,MNXM7659
arbtn_fe3_p,C05554
12dgr161_p,MNXM3774
progly_p,CHEBI:61695
orn_p,C00077
pa181_p,cpd15527
12dgr120_p,MNXM4939
asp__L_p,C00049
pydam_p,C00534
2agpe160_p,CHEBI:131743
crn_p,C00318
2agpg140_c,cpd26437
1hdecg3p_p,cpd15327
btn_p,C00120
pro__L_p,C00148
ttdcap_c,MNXM147613
mal__D_p,C00497
co2_p,C00011
5dglcn_p,C01062
fe3_c,C14819
arbt_e,C06186
ch4_p,C01438
fad_e,C00016
fmn_p,C00061
dhptdd_c,
quin_c,C00296
sel_p,C05697
epmeACP_c,C20378
dtgcl_c,
23dappa_c,C03401
cholate_p,C00695
mococdp_c,CHEBI:25373
doxrbcn_p,C01661
dopa_p,C03758
ala__L_c,C00041
g3pc_p,C00670
hco3_c,C00288
alaala_c,C00993
